"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","17","0","","0"
"0","Web Automation","0","C:\Users\ritas\Documents\Move\ritaGitHub\playwright-ts-allure\tests\deleteAccount.spec.ts","1","0","tests\deleteAccount.spec.ts","0"
